,Unnamed: 0,name,Prediction result,pro non_persion
221,221,dang thi thanh hoa,1,0.0041520595550537
222,222,bui thi quynh,1,0.0007590055465698
223,223,lam thu ho,1,0.0482012033462524
224,224,bui van duy,1,0.0016794800758361
225,225,ngo thi tu trinh,1,0.0013166069984436
226,226,pham the quyen,1,0.0003727674484252
227,227,trinh xuan hung,1,0.010462999343872
228,228,tran thi mien,1,0.0012782216072082
229,229,vu duy thin,1,0.003018319606781
230,230,ton van thinh,1,0.0230692625045776
231,231,bui duc long,1,0.0275505185127258
232,232,phan van luong,1,0.0016763806343078
233,233,le bao trung,1,0.0084372758865356
234,234,tran van thang,1,0.0047524571418762
235,235,le van thanh,1,0.0019289851188659
236,236,duong tue man,1,0.0440608263015747
237,237,nguyen huu tan dat,1,0.0364187359809875
238,238,tran van tinh,1,0.0035735964775085
239,239,luu dinh hao,1,0.0248463749885559
240,240,nguyen tien thinh,1,0.0013840198516845
241,241,ha thi hong ngoc,1,0.0032241940498352
242,242,hoang van tien,1,0.0079368948936462
243,243,ha thi vy,1,0.0028415918350219
244,244,do thi ngat,1,0.0033119320869445
245,245,pham nguyen bich thao,1,0.3988493084907532
246,246,bui van dung,1,0.0060440897941589
247,247,le thi hoa hong,1,0.0039690136909484
248,248,hoang van giang,1,0.0197082757949829
249,249,phan thi thuy linh,1,0.0019254684448242
250,250,lo thanh hien,1,0.0402101874351501
251,251,nguyen tien vu,1,0.0011368989944458
252,252,ta viet hung,1,0.0380550622940063
253,253,nguyen quang huy,1,0.0006294846534729
254,254,dang minh hieu,1,0.0142488479614257
255,255,vu quoc cuong,1,0.0022167563438415
256,256,tran van an,1,0.0051667690277099
257,257,le thi khanh ngan,1,0.0020202994346618
258,258,phung thi kim anh,1,0.003706157207489
259,259,giang quoc duy,1,0.0011156201362609
260,260,le dinh duong,1,0.0069999694824218
261,261,cao nhat le,1,0.0395569205284118
262,262,chu van duy,1,0.0024210810661315
263,263,dinh thi kim phung,1,0.0017617940902709
264,264,do thi kim chi,1,0.0027350187301635
265,265,nguyen cong hoang dung,1,0.2285598516464233
266,266,nguyen thi van anh,1,0.0009006261825561
267,267,le thanh ha,1,0.0069756507873535
268,268,vu luu,1,0.0259451866149902
269,269,nguyen van quang,1,0.0006046295166015
270,270,nguyen thi hong hoa,1,0.0013670325279235
271,271,trinh thi xuan hong,1,0.0061371326446533
272,272,cong ty tnhh havy hoang thu,0,0.9993250370025636
273,273,nghiem thanh hai,1,0.1093431115150451
274,274,phung ly quynh,1,0.002257227897644
275,275,dinh thi thuy duong,1,0.0037949681282043
276,276,lai thi hai,1,0.0042960047721862
277,277,dang thi hong,1,0.0049582123756408
278,278,tran van cuong,1,0.0029948353767395
279,279,pham truong giang,1,0.0075483918190002
280,280,nguyen thanh tung,1,0.0008779168128967
281,281,vuong quoc thai,1,0.0013710260391235
282,282,vo ngoc khanh du,1,0.0862614512443542
283,283,nguyen thi quyen,1,0.000516653060913
284,284,le thanh lam,1,0.00494384765625
285,285,nguyen thu ha,1,0.0009626150131225
286,286,bui ngoc linh,1,0.0498202443122863
287,287,le tat thanh,1,0.0225099921226501
288,288,nguyen thanh tuan,1,0.0009532570838928
289,289,nguyen thi nuong,1,0.0010132193565368
290,290,ct tnhh dtpt quoc te xu lang,0,0.9999994039535522
291,291,pham thanh phuc,1,0.0061410069465637
292,292,pham van an,1,0.002925157546997
293,293,kim quang inc,1,0.0795279145240783
294,294,le thi tu,1,0.0011919736862182
295,295,luong van hien,1,0.0040355920791625
296,296,nguyen thi hong diep,1,0.0019395947456359
297,297,le phuoc hung,1,0.0028018951416015
298,298,bui thi anh,1,0.0012814998626708
299,299,nguyen thi lien,1,0.0008622407913208
300,300,nguyen tien tam,1,0.002079427242279
301,301,duong ha lan,1,0.0340713858604431
302,302,pham van tinh,1,0.002021849155426
303,303,hoang duy nam,1,0.0134096145629882
304,304,vu thao linh,1,0.0137828588485717
305,305,dinh hoang ha uyen,1,0.3438460826873779
306,306,le thanh thuyen,1,0.0055861473083496
307,307,vo hoang vu,1,0.0179780721664428
308,308,nguyen thanh tien,1,0.0008304119110107
309,309,phan hai nam,1,0.0098446607589721
310,310,vu thi thanh,1,0.0009354948997497
311,311,nguyen quoc thang,1,0.0006294846534729
312,312,nguyen van hieu,1,0.0013871192932128
313,313,dang thuy linh,1,0.0044406652450561
314,314,le van quang,1,0.0005167722702026
315,315,dao trung hieu,1,0.0269859433174133
316,316,hoang van nhat,1,0.0069581270217895
317,317,nguyen viet tho,1,0.0052344799041748
318,318,tran thi thu hien,1,0.0010164380073547
319,319,tran dinh viet ha,1,0.037474513053894
320,320,le minh quan,1,0.0005141496658325
321,321,ho xuan tuyen,1,0.0201121568679809
322,322,bui thi tuyet,1,0.0020788311958312
323,323,nong thi diep,1,0.0032312870025634
324,324,bui van chieu,1,0.0136670470237731
325,325,ha dinh hoang,1,0.0371703505516052
326,326,le duc cuong,1,0.0213125348091125
327,327,hoang duc minh,1,0.0286720395088195
328,328,trieu thanh thao,1,0.0225454568862915
329,329,luu van quan,1,0.0005584359169006
330,330,ho le quyen,1,0.0006741285324096
331,331,nguyen hoai lam,1,0.0017701983451843
332,332,tran thi ly loan,1,0.0072009563446044
333,333,nguyen huy nhat,1,0.0013245940208435
334,334,tran quy duong,1,0.0005744695663452
335,335,le hoan,1,0.0174221396446228
336,336,hoang gia khiem,1,0.2736020088195801
337,337,pham thi vinh,1,0.0004795789718627
338,338,nguyen hai trieu,1,0.0009530186653137
339,339,tran van son,1,0.0015524625778198
340,340,nguyen van binh,1,0.0011358261108398
341,341,lo thi thu,1,0.0022205710411071
342,342,le van hoa,1,0.003351867198944
343,343,tap doan buu chinh vien thong vn,0,0.998689591884613
344,344,do thi gam,1,0.0056037902832031
345,345,vuong thi thu trang,1,0.0053734183311462
346,346,nguyen tien cu,1,0.002124547958374
347,347,pham van hao,1,0.002925157546997
348,348,vo my phung,1,0.0089120268821716
349,349,nguyen duc nam,1,0.0017259120941162
350,350,tran thi dien,1,0.0016365647315979
351,351,bui manh tien,1,0.0106210112571716
352,352,nguyen thi dung,1,0.0008167624473571
353,353,nguyen minh vuong,1,0.0004647970199584
354,354,tran thi lieu,1,0.0014252662658691
355,355,pham ngoc thuong,1,0.0034788846969604
356,356,pham thi van anh,1,0.000927448272705
357,357,do thi lieu,1,0.0008591413497924
358,358,hoang thi anh,1,0.0036372542381286
359,359,trinh dinh thuy,1,0.007491648197174
360,360,nguyen van tien,1,0.0011368989944458
361,361,nguyen hong anh,1,0.001967966556549
362,362,nguyen kim hue,1,0.00119149684906
363,363,tran thi thuy tram,1,0.0014005303382873
364,364,mai van doanh,1,0.0051449537277221
365,365,phan thanh trung,1,0.0031380653381347
366,366,nguyen thi hong,1,0.0012928247451782
367,367,tran tuan hien,1,0.0072658061981201
368,368,tang thi lan oanh,1,0.0170878171920776
369,369,pham van tam,1,0.0030928254127502
370,370,dang phuong anh,1,0.0039907693862915
371,371,vo thi oanh,1,0.0024479031562805
372,372,huynh thi cam nhung,1,0.0191642045974731
373,373,kim thi thu trang,1,0.0018152594566345
374,374,cty cp dt xd ha trung,0,0.9999998807907104
375,375,lam phi phuong,1,0.0068292617797851
376,376,nguyen my dung,1,0.0017619132995605
377,377,nguyen quang ba,1,0.0006294846534729
378,378,nguyen thi thuan,1,0.0009377598762512
379,379,nguyen sy manh,1,0.0077362060546875
380,380,nguyen duy thai,1,0.0013503432273864
381,381,nguyen bao tung,1,0.0012837648391723
382,382,tran thi hong,1,0.001572847366333
383,383,le hai son,1,0.0023712515830993
384,384,pham viet hung,1,0.0023180246353149
385,385,ha ngoc huyen,1,0.0066607594490051
386,386,tran thi thanh thuy,1,0.0013269186019897
387,387,nguyen xuan huong trang,1,0.0229715704917907
388,388,nguyen duc anh,1,0.0020445585250854
389,389,le thi thanh dieu,1,0.003260314464569
390,390,nguyen thi nam,1,0.0007914900779724
391,391,nguyen thi yen,1,0.0009377598762512
392,392,doan thi ngoc diem,1,0.0070380568504333
393,393,cty cp duong duoc bao sinh,0,0.9998977184295654
394,394,tran chum,1,0.0766676664352417
395,395,vu mai hien thuc,1,0.0781722068786621
396,396,ha hai da,1,0.1724827289581298
397,397,nguyen tran thao vy,1,0.082593023777008
398,398,do xuan binh,1,0.0092073082923889
399,399,cty cp dt tm va dvth tuan tu,0,0.9999998807907104
400,400,nguyen van dung,1,0.0011944770812988
401,401,nguyen truong han,1,0.0014449954032897
402,402,nguyen thi nhu cam,1,0.0014623403549194
403,403,tran thi linh,1,0.0010127425193786
404,404,nguyen thi huyen,1,0.0009377598762512
405,405,le minh trao,1,0.0504041910171508
406,406,ho thanh ho,1,0.0412635803222656
407,407,ha thi khanh ly,1,0.0082543492317199
408,408,phung viet hung,1,0.037132441997528
409,409,nguyen thi hue huong,1,0.0052267909049987
410,410,nguyen duy an,1,0.0020445585250854
411,411,tran duy lam,1,0.0061370134353637
412,412,nguyen thi quynh nga,1,0.0011924505233764
413,413,nguyen dinh thanh,1,0.0006799697875976
414,414,nhu quoc tuan,1,0.0014804005622863
415,415,lo van chien,1,0.0142963528633117
416,416,nguyen huu thanh,1,0.0009626150131225
417,417,nguyen hoang linh,1,0.000868022441864
418,418,nguyen thi vung,1,0.0009186267852783
419,419,phu hong lien,1,0.0133047103881835
420,420,duong dang viet,1,0.0096256732940673
421,421,le minh thanh,1,0.0022599697113037
422,422,nguyen ngoc tu,1,0.0019726157188415
423,423,tran minh thiet,1,0.003032624721527
424,424,tran dinh cong,1,0.0056112408638
425,425,le ba viet,1,0.0066850781440734
426,426,nguyen van ba,1,0.0014249086380004
427,427,vu thi hien,1,0.0009496808052062
428,428,dinh the do,1,0.0419062376022338
429,429,cttnhh may xk daekwang son vina,0,0.9999616742134094
430,430,bui thi huyen,1,0.0007003545761108
431,431,nguyen quang tien,1,0.0004749298095703
432,432,cao minh duc,1,0.0396081209182739
433,433,dang thi thu thuy,1,0.0017310380935668
434,434,chu duc thinh,1,0.0822857022285461
435,435,dang ngoc anh tuan,1,0.0370236635208129
436,436,le truyen thong,1,0.0101802945137023
437,437,nguyen phuong thuy,1,0.0010191798210144
438,438,tran viet anh,1,0.0030707716941833
439,439,tran hoang son,1,0.0009891986846923
440,440,trinh thi le,1,0.0004004836082458
441,441,le thi hue,1,0.0011919736862182
442,442,luong minh thu,1,0.0082783102989196
443,443,nguyen thi le,1,0.000886857509613
444,444,phung cao tung chi,1,0.4484168291091919
445,445,la huu thuong,1,0.0831943154335022
446,446,phung cao ha my,1,0.3012493848800659
447,447,vu thuy chinh,1,0.0062584280967712
448,448,phung ba gia minh,1,0.1881914138793945
449,449,nguyen thanh nhung,1,0.0007637739181518
450,450,nguyen nhu ngoc,1,0.0036340951919555
451,451,nguyen thi tu chi,1,0.0029635429382324
452,452,nguyen thi hue,1,0.000886857509613
453,453,le hoang anh,1,0.0053467750549316
454,454,nguyen thi thanh mai,1,0.0008379220962524
455,455,nguyen hoang vu,1,0.0012760758399963
456,456,nguyen mai quyen,1,0.000456690788269
457,457,nguyen hong ngoc,1,0.0059061646461486
458,458,danh mung,1,0.0222352147102355
459,459,chamalea thai,1,0.622510552406311
460,460,nguyen thuy hoan,1,0.0018322467803955
461,461,luu van nam,1,0.0070341825485229
462,462,do thi thuy,1,0.0005023479461669
463,463,duong tuan vu,1,0.0047748088836669
464,464,le van manh,1,0.0013275146484375
465,465,nguyen van binh,1,0.0011358261108398
466,466,nguyen hai luyen,1,0.0105541348457336
467,467,nghiem dinh manh,1,0.04860520362854
468,468,ho kha an,1,0.1049338579177856
